Kode,Nama,Tahun
01.01.11.06.02,Lain-lain,2007
01.01.11.07,Tanah Bangunan Pengairan,2007
01.01.11.07.01,Tanah Waduk,2007
01.01.11.07.02,Tanah Komplek Bendungan,2007
01.01.11.07.03,Tanah Jaringan/Saluran,2007
01.01.11.07.04,Lain-lain,2007
01.01.11.08,Tanah Bangunan Jalan dan Jembatan,2007
01.01.11.08.01,Tanah Jalan,2007
01.01.11.08.02,Tanah Jembatan,2007
01.01.11.08.03,Lain-lain,2007
01.01.11.09,Tanah Lembiran/Bantaran/Lepe-lepe/Setren dst,2007
01.01.11.09.01,Tanah Lembiran Pengairan,2007
01.01.11.09.02,Tanah Lembiran Jalan dan Jembatan,2007
01.01.11.09.03,Lain-lain,2007
01.01.12,TANAH PERTAMBANGAN,2007
01.01.12.01,Pertambangan,2007
01.01.12.01.01,Intan,2007
01.01.12.01.02,Emas,2007
01.01.12.01.03,Perak,2007
01.01.12.01.04,Nekel,2007
01.01.12.01.05,Timah,2007
01.01.12.01.06,Uranium,2007
01.01.12.01.07,Tembaga,2007
01.01.12.01.08,Minyak Bumi,2007
01.01.12.01.09,Batu Bara,2007
01.01.12.01.10,Koslin,2007
01.01.12.01.11,Batu Bara Berharga,2007
01.01.12.01.12,Pasir Berharga,2007
01.01.12.01.13,Lain-lain,2007
01.01.13,TANAH UNTUK BANGUNAN BUKAN GEDUNG,2007
01.01.13.01,Tanah Lapangan Olah Raga,2007
01.01.13.01.01,Tanah Lapangan Tenis,2007
01.01.13.01.02,Tanah Lapangan Basket,2007
01.01.13.01.03,Tanah Lapangan Badminton/Bulutangkis,2007
01.01.13.01.04,Tanah Lapangan Golf,2007
01.01.13.01.05,Tanah Lapangan Sepak Bola,2007
01.01.13.01.06,Tanah Lapangan Bola Volly,2007
01.01.13.01.07,Tanah Lapangan Sepak Takraw,2007
01.01.13.01.08,Taanh Lapangan Pacuan Kuda,2007
01.01.13.01.09,Tanah Lapangan Balap Sepeda,2007
01.01.13.01.10,Tanah Lapangan Atletik,2007
01.01.13.01.11,Tanah Lapangan Softball,2007
01.01.13.01.12,Lain-lain,2007
01.01.13.02,Tanah Lapangan Parkir,2007
01.01.13.02.01,Tanah Lapangan Parkir Kontruksi Beton,2007
01.01.13.02.02,Tanah Lapangan Parkir Kontruksi Aspal,2007
01.01.13.02.03,Tanah Lapangan Parkir Sirtu (Pasir Batu),2007
01.01.13.02.04,Tanah Lapangan Parkir Konblok,2007
01.01.13.02.05,Tanah Lapangan Parkir Tanah Keras,2007
01.01.13.02.06,Lain-lain,2007
01.01.13.03,Tanah Lapangan Penimbun Barang,2007
01.01.13.03.01,Tanah Lapangan Penimbun Barang Belum Diolah,2007
01.01.13.03.02,Tanah Lapangan Penimbun Barang Jadi,2007
01.01.13.03.03,Tanah Lapangan Penimbun Pembuangan Sampah,2007
01.01.13.03.04,Tanah Lapangan Penimbun Bahan Bangunan,2007
01.01.13.03.05,Tanah Lapangan Penimbun Barang Bukti,2007
01.01.13.03.06,Lain-lain,2007
01.01.13.04,Tanah Lapangan Pemancar Dan Studio Alam,2007
01.01.13.04.01,Tanah Lapangan Pemancar TV/Radio/Radar,2007
01.01.13.04.02,Tanah Lapangan Studio Alam,2007
01.01.13.04.03,Tanah Lapangan Pemancar Lainnya,2007
01.01.13.04.04,Lain-lain,2007
01.01.13.05,Tanah Lapangan Pengujian/Pengolahan,2007
01.01.13.05.01,Tanah Lapangan Pengujian Kendaraan  Bermotor,2007
01.01.13.05.02,Tanah lapangan pengelolaan Bahan Bangunan,2007
01.01.13.05.03,Tanah lapangan Pengujian Lainnya,2007
01.01.13.05.04,Lain-lain,2007
01.01.13.06,Tanah Lapangan Terbang,2007
01.01.13.06.01,Tanah Lapangan Terbang Perintis,2007
01.01.13.06.02,Tanah Lapngan Komersial,2007
01.01.13.06.03,Tanah Lapangan Terbang Khusus/Militer,2007
01.01.13.06.04,Tanah Laopangan Terbang Olah Raga,2007
01.01.13.06.05,Tanah Lapangan Terbang Pendidikan,2007
01.01.13.06.06,Tanah Lapangan Trebang Lainnya,2007
01.01.13.06.07,Lain-lain,2007
01.01.13.07,Tanah Untuk Bangunan Jalan,2007
01.01.13.07.01,Tanah Untuk Jalan Nasional,2007
01.01.13.07.02,Tanah Untuk Jalan Propinsi,2007
01.01.13.07.03,Tanah Untuk Jalan Kabupaten,2007
01.01.13.07.04,Tanah Untuk Jalan Kotamadya,2007
01.01.13.07.05,Tanah Untuk Jalan Desa,2007
01.01.13.07.06,Tanah Untuk Jalan Tol,2007
01.01.13.07.07,Tanah Untuk Jalan Kereta api/lori,2007
01.01.13.07.08,Tanah Untuk Jalan Landasan Pacu Pesawat Terbang,2007
01.01.13.07.09,Tanah Untuk Jalan Khusus/Komplek,2007
01.01.13.07.10,Lain-lain,2007
01.01.13.08,Tanah Untuk Bangunan Air,2007
01.01.13.08.01,Tanah Untuk Bangunan Air Irigasi,2007
01.01.13.08.02,Tanah Untuk Bangunan Pengairan pasang surut,2007
01.01.13.08.03,Tanah Untuk Bangunan Pengembangan Rawa dan Polder,2007
01.01.13.08.04,Tanah Untuk Bangunan Pengaman Sungai dan Penanggulangan Bencana Alam,2007
01.01.13.08.05,Tanah Untuk Bangunan Pengembangan Sumber Air dan air Tnh,2007
01.01.13.08.06,Tanah Untuk Bangunan Air Bersih/air Baku,2007
01.01.13.08.07,Tanah Untuk Bangunan Air Kotor,2007
01.01.13.08.08,Lain-lain,2007
01.01.13.09,Tanah Untuk Bangunan Instalasi,2007
01.01.13.09.01,Tanah Untuk Bangunan Instalasi Air Bersih/air Baku,2007
01.01.13.09.02,Tanah Untuk Bangunan Instalasi Air Kotor/Air Limbah,2007
01.01.13.09.03,Tanah Untuk Bangunan Instalasi Pengelohan Sampah,2007
01.01.13.09.04,Tanah Untuk Bangunan Instalasi Pengolahan Bahan bangunan,2007
01.01.13.09.05,Tanah Untuk Bangunan Instalasi Listrik,2007
01.01.13.09.06,Tanah Untuk Bangunan Instalasi Gardu Listrik,2007
01.01.13.09.07,Tanah Untuk Bangunan Pangolahan Limbah,2007
01.01.13.09.08,Lain-lain,2007
01.01.13.10,Tanah Untuk Bangunan Jaringan,2007
01.01.13.10.01,Tanah Untuk Bangunan Jaringan Air Bersih/air Baku,2007
01.01.13.10.02,Tanah Untuk Bangunan Jaringan Komunikasi,2007
01.01.13.10.03,Tanah Untuk Bangunan Jaringan Listrik,2007
01.01.13.10.04,Tanah Untuk Bangunan Jaringan Gas/BBM,2007
01.01.13.10.05,Lain-lain,2007
01.01.13.11,Tanah Untuk Bangunan Bersejarah,2007
01.01.13.11.01,Tanah Untuk Monumen,2007
01.01.13.11.02,Tanah Untuk Tugu Peringatan,2007
01.01.13.11.03,Tanah Untuk Tugu Batas Wilayah,2007
01.01.13.11.04,Tanah Untuk Candi,2007
01.01.13.11.05,Tanah Untuk Bangunan Moseum,2007
01.01.13.11.06,Tanah Untuk Bangunan Bersejarah,2007
01.01.13.11.07,Lain-lain,2007
01.01.13.12,Tanah Untuk Bangunan Gedung Olah Raga,2007
01.01.13.12.01,Tanah Bangunan Sarana Olaoh Raga Terbatas,2007
01.01.13.12.02,Tanah Bangunan Sarana Olah Raga Terbuka,2007
01.01.13.12.03,Tanah Bangunan Sarana Olah Raga Lainnya,2007
01.01.13.12.04,Lain-lain,2007
01.01.13.13,Tanah Untuk Bangunan Tampat Ibadah,2007
01.01.13.13.01,Tanah Untuk Bangunan Mesjid,2007
01.01.13.13.02,Tanah Untuk Bangunan Gereja,2007
01.01.13.13.03,Tanah Untuk Bangunan Pura,2007
01.01.13.13.04,Tanah Untuk Bangunan Vihara,2007
01.01.13.13.05,Tanah Untuk Bangunan Klenteng/Kuil,2007
01.01.13.13.06,Tanah Untuk Bangunan Krematorium,2007
01.01.13.13.07,Lain-lain,2007
02,GOLONGAN PERALATAN DAN MESIN,2007
02.02,ALAT -ALAT BESAR,2007
02.02.01,ALAT -ALAT BESAR DARAT,2007
02.02.01.01,Tractor,2007
02.02.01.01.01,Crawler Tractor,2007
02.02.01.01.02,Wheel Tractor,2007
02.02.01.01.03,Swanp Tractor,2007
02.02.01.01.04,Lain-lain,2007
02.02.01.02,Grader,2007
02.02.01.02.01,Grader+Attachment,2007
02.02.01.02.02,Grader Towed Type,2007
02.02.01.02.03,Buldozer,2007
02.02.01.02.04,Draiglines,2007
02.02.01.02.05,SlovelDozer,2007
02.02.01.02.06,Lain-lain,2007
02.02.01.03,Excavator,2007
02.02.01.03.01,Clawler Excavator,2007
02.02.01.03.02,Wheel Excavator,2007
02.02.01.03.03,Lain-lain,2007
02.02.01.04,Pile Driver,2007
02.02.01.04.01,Pile Driver,2007
02.02.01.04.02,Lain-lain,2007
02.02.01.05,Hauler,2007
02.02.01.05.01,Self Propelled Scraper,2007
02.02.01.05.02,Towed Scraper,2007
02.02.01.05.03,Dump Truck,2007
02.02.01.05.04,Lamp Wagen,2007
02.02.01.05.05,Lori,2007
02.02.01.05.06,Lain-lain,2007
02.02.01.06,Asphal Equipment,2007
02.02.01.06.01,Asphal Mixing Plant,2007
02.02.01.06.02,Asphal Finisher,2007
02.02.01.06.03,Asphal Distributor,2007
02.02.01.06.04,Asphal Heater,2007
02.02.01.06.05,Asphal Tanker,2007
02.02.01.06.06,Asphal Srayer,2007
02.02.01.06.07,Asbuton Dryar,2007
02.02.01.06.08,Recycle,2007
02.02.01.06.09,Col  Milling Machine,2007
02.02.01.06.10,Lain-lain,2007
02.02.01.07,Compacting Equipment,2007
02.02.01.07.01,Macadan Roller/Three Wheel Roller,2007
02.02.01.07.02,Tandam Roller,2007
02.02.01.07.03,Mesh Roller,2007
02.02.01.07.04,Vibration Roller,2007
02.02.01.07.05,Tyre Roller,2007
02.02.01.07.06,Soil Stabilizer,2007
02.02.01.07.07,Sheep Foot/Stamping Roller,2007
02.02.01.07.08,Stamper,2007
02.02.01.07.09,Vibration Plate,2007
02.02.01.07.10,Pemadat Sampah,2007
02.02.01.07.11,Lain-lain,2007
02.02.01.08,Aggragate $ Concrete Equipment,2007
02.02.01.08.01,Stone Crushing Plant,2007
02.02.01.08.02,Screeninh Classifier,2007
02.02.01.08.03,Stone Crusher,2007
02.02.01.08.04,Aggregate Washer,2007
02.02.01.08.05,Batching Plant,2007
02.02.01.08.06,Concrete Finisher,2007
02.02.01.08.07,Concrete Finisher,2007
02.02.01.08.08,Concrete  Pump,2007
02.02.01.08.09,Concrete Lif,2007
02.02.01.08.10,Concrete Prestres,2007
02.02.01.08.11,Concrete Cutter,2007
02.02.01.08.12,Concrete Mixer,2007
02.02.01.08.13,Concrete Vibrator,2007
02.02.01.08.14,Concrete Breaker,2007
02.02.01.08.15,Aggregate/Chip Sproader,2007
02.02.01.08.16,Grauting Machire,2007
02.02.01.08.17,Pipe Plant Equipment,2007
02.02.01.08.18,Concrete Mixer Tandem,2007
02.02.01.08.19,Onion Head Machine,2007
02.02.01.08.20,Pan Mixer,2007
02.02.01.08.21,Asbuton Mixer,2007
02.02.01.08.22,Paddle Mixer,2007
02.02.01.08.23,Asphalt Buton Crusher,2007
02.02.01.08.24,Lain-lain,2007
02.02.01.09,Loader,2007
02.02.01.09.01,Truck Loader + Attachment,2007
02.02.01.09.02,Wheel Loader + Attachment,2007
02.02.01.09.03,Lain-lain,2007
02.02.01.10,Alat Pengangkat,2007
02.02.01.10.01,Tower Crane,2007
02.02.01.10.02,Truck Mounted Crane,2007
02.02.01.10.03,Truk Crane,2007
02.02.01.10.04,Wheel Crane,2007
02.02.01.10.05,Forklift,2007
02.02.01.10.06,Fortal Crane,2007
02.02.01.10.07,Crawier Crane,2007
02.02.01.10.08,Lain-lain,2007
02.02.01.11,Mesin Proses,2007
02.02.01.11.01,Mesin Pembuat Pellet,2007
02.02.01.11.02,Mesin Pembuat Es,2007
02.02.01.11.03,Mesin Penghacur Es,2007
02.02.01.11.04,Water Treatment,2007
02.02.01.11.05,Sea Water Treatment,2007
02.02.01.11.06,Lain-lain,2007
02.02.02,Alat-alat Besar Apung,2007
02.02.02.01,Dredger,2007
02.02.02.01.01,Suchtion Dredger,2007
02.02.02.01.02,Buchket Dredger,2007
02.02.02.01.03,Cutter Suction Dragline,2007
02.02.02.01.04,Lain-lain,2007
02.02.02.02,Floating Exavator,2007
02.02.02.02.01,Floating Exavator + Attachment,2007
02.02.02.02.02,Lain-lain,2007
02.02.02.03,Amphibi Dredger,2007
02.02.02.03.01,Plain Suction,2007
02.02.02.03.02,Cutter,2007
02.02.02.03.03,Clamshell/Dragline,2007
02.02.02.03.04,Lain-lain,2007
02.02.02.04,Kapal Tarik,2007
02.02.02.04.01,Kapal Tarik,2007
02.02.02.04.02,Lain-lain,2007
02.02.02.05,Mesin Proses Apung,2007
02.02.02.05.01,Water Treatment,2007
02.02.02.05.02,Lain-lain,2007
02.02.03,Alat-alat Bantu,2007
02.02.03.01,Alat Penarik,2007
02.02.03.01.01,Alat Penarik Kapal,2007
02.02.03.01.02,Alat Penarik Jaring,2007
02.02.03.01.03,Lain-lain,2007
02.02.03.02,Feeder,2007
02.02.03.02.01,Elevator,2007
02.02.03.02.02,Belt Conveyor,2007
02.02.03.02.03,Screw Coriveyor,2007
02.02.03.02.04,Escalator,2007
02.02.03.02.05,Gandala,2007
02.02.03.02.05,Lain-lain,2007
02.02.03.03,Compressor,2007
02.02.03.03.01,Transportable Compresor,2007
02.02.03.03.02,Portable Compresor,2007
02.02.03.03.03,Stationary Compresor,2007
02.02.03.03.04,Lain-lain,2007
02.02.03.04,Electric Generating Set,2007
02.02.03.04.01,Transportable Generating Set,2007
02.02.03.04.02,Portable Generating Set,2007
02.02.03.04.03,Stationary Generating Set,2007
02.02.03.04.04,Lain-lain,2007
02.02.03.05,Pompa,2007
02.02.03.05.01,Transportable Water Pomp,2007
02.02.03.05.02,Portable Water Pump,2007
02.02.03.05.03,Stationary Water Pump,2007
02.02.03.05.04,Poppa Lumpur,2007
02.02.03.05.05,Sumersible Pump,2007
02.02.03.05.06,Pompa Tangan,2007
02.02.03.05.07,Lain-lain,2007
02.02.03.06,Mesin Bor,2007
02.02.03.06.01,Mesin Bor Batu,2007
02.02.03.06.02,Mesin Bor Tanah,2007
02.02.03.06.03,Mesin Bor Beton,2007
02.02.03.06.04,Lain-lain,2007
02.02.03.07,Unit Pemeliharaan Lapangan,2007
02.02.03.07.01,Mobile Workshop,2007
02.02.03.07.02,Service Car,2007
02.02.03.07.03,Floating Work Shop,2007
02.02.03.07.04,Road Maintenance Truck,2007
02.02.03.07.05,Sweeper Truck,2007
02.02.03.07.06,Wreck Car,2007
02.02.03.07.07,Leak Detector,2007
02.02.03.07.08,Pipe Locator,2007
02.02.03.07.09,Lain-lain,2007
02.02.03.08,Alat Pengolahan Air Kotor,2007
02.02.03.08.01,Unit Pengolahan Air Kotor,2007
02.02.03.08.02,Lain-lain,2007
02.02.03.09,Pembangkit Uap Air Panas/ Sistem Generator,2007
02.02.03.09.01,Unit Pembangkit Uap Air Panas,2007
02.02.03.09.02,Lain-lain,2007
02.03,ALAT- ALAT ANGKUTAN,2007
02.03.01,Alat Angkutan Darat Bermotor,2007
